[ 12.9744613, 77.6734317, False ]
[ 12.9744613, 77.6734317, False ]
[ 12.9742908, 77.673248, False ]
[ 12.9742908, 77.673248, False ]
[ 12.9743687, 77.6733423, False ]
[ 12.9743687, 77.6733423, False ]
[ 12.9742916, 77.6732606, False ]
[ 12.9742916, 77.6732606, False ]
[ 12.9736363, 77.674194, False ]
[ 12.9736363, 77.674194, False ]
[ 12.9736363, 77.674194, False ]
[ 12.9736363, 77.674194, False ]
[ 12.9736363, 77.674194, False ]
[ 12.9736363, 77.674194, False ]
[ 13.0705109, 77.7916319, False ]
[ 13.0705109, 77.7916319, False ]
[ 12.9733308, 77.6752809, False ]
[ 12.9733308, 77.6752809, False ]
[ 12.9733726, 77.6753613, False ]
[ 12.9733726, 77.6753613, False ]
[ 12.972782, 77.6770999, False ]
[ 12.972782, 77.6770999, False ]
[ 12.972782, 77.6770999, False ]
[ 12.972782, 77.6770999, False ]
[ 12.9726773, 77.6776815, False ]
[ 12.9726773, 77.6776815, False ]
[ 12.972715, 77.6775473, False ]
[ 12.972715, 77.6775473, False ]
[ 12.9727581, 77.6778456, False ]
[ 12.9727581, 77.6778456, False ]
[ 12.9755085, 77.6787103, False ]
[ 12.9755085, 77.6787103, False ]
[ 12.9760442, 77.6792705, False ]
[ 12.9759672, 77.6790682, False ]
[ 12.9759672, 77.6790682, False ]
[ 12.9759558, 77.6791069, False ]
[ 12.97621, 77.6792351, False ]
[ 12.97621, 77.6792351, False ]
[ 12.9773105, 77.6794593, False ]
[ 12.9786076, 77.6794493, False ]
[ 12.9786076, 77.6794493, False ]
[ 12.9809638, 77.6792023, False ]
[ 12.9809638, 77.6792023, False ]
[ 22.5951026, 88.3599288, False ]
[ 22.5951026, 88.3599288, False ]
[ 13.0101569, 77.7080627, False ]
[ 13.0101569, 77.7080627, False ]
[ 12.9830867, 77.680288, False ]
[ 12.9830867, 77.680288, False ]
[ 12.9830867, 77.680288, False ]
[ 12.9830867, 77.680288, False ]
[ 12.9832805, 77.6800785, False ]
[ 12.9832805, 77.6800785, False ]
[ 13.041327, 77.6158715, False ]
[ 13.041327, 77.6158715, False ]
